timestamp,asset,direction,confidence,pct_change,strategy_type,stop_loss,take_profit
2025-05-28 14:02:39.150411,ETH-USD,short,99.00%,-4.44%,swing,SL:2702.73,TP:2582.91
2025-05-28 14:08:17.885582,ETH-USD,short,99.00%,-3.98%,swing,SL:2687.94,TP:2568.77
2025-05-28 14:08:18.321849,ETH-USD,short,99.00%,-4.01%,swing,SL:2687.94,TP:2568.77
2025-05-28 14:13:57.038592,ETH-USD,short,99.00%,-3.75%,swing,SL:2681.73,TP:2562.84
2025-05-28 14:13:57.472641,ETH-USD,short,99.00%,-3.68%,swing,SL:2681.73,TP:2562.84
2025-05-28 14:19:36.216906,ETH-USD,short,99.00%,-3.04%,swing,SL:2661.96,TP:2543.94
2025-05-28 14:19:36.669752,ETH-USD,short,99.00%,-3.07%,swing,SL:2661.96,TP:2543.94
2025-05-28 14:25:15.655759,ETH-USD,short,99.00%,-3.53%,swing,SL:2677.64,TP:2558.93
2025-05-28 14:25:15.932180,ETH-USD,short,99.00%,-3.60%,swing,SL:2677.64,TP:2558.93
2025-05-28 14:30:54.883983,ETH-USD,short,99.00%,-3.56%,swing,SL:2678.21,TP:2559.47
2025-05-28 14:30:55.262641,ETH-USD,short,99.00%,-3.61%,swing,SL:2678.21,TP:2559.47
2025-05-28 14:36:34.034396,ETH-USD,short,99.00%,-3.70%,swing,SL:2678.21,TP:2559.47
2025-05-28 14:36:34.651442,ETH-USD,short,99.00%,-3.61%,swing,SL:2678.21,TP:2559.47
2025-05-28 14:42:13.232969,ETH-USD,short,99.00%,-3.45%,swing,SL:2675.28,TP:2556.67
2025-05-28 14:42:13.926369,ETH-USD,short,99.00%,-3.54%,swing,SL:2675.28,TP:2556.67
2025-05-28 14:47:37.905502,BTC-USD,long,83.51%,0.27%,scalp,SL:106019.38,TP:110862.91
2025-05-28 14:47:52.495029,ETH-USD,short,99.00%,-3.77%,swing,SL:2681.06,TP:2562.2
2025-05-28 14:47:53.686349,ETH-USD,short,99.00%,-3.68%,swing,SL:2681.06,TP:2562.2
2025-05-28 14:53:16.395387,BTC-USD,long,83.69%,0.25%,scalp,SL:106014.03,TP:110857.31
2025-05-28 14:53:17.607682,BTC-USD,long,83.77%,0.28%,scalp,SL:106014.03,TP:110857.31
2025-05-28 14:53:32.127644,ETH-USD,short,99.00%,-3.37%,swing,SL:2670.83,TP:2552.42
2025-05-28 14:53:33.386683,ETH-USD,short,99.00%,-3.30%,swing,SL:2670.83,TP:2552.42
2025-06-03 15:14:38.287716,ETH-USD,short,92.18%,-3.12%,swing,SL:2675.1,TP:2556.5
2025-06-03 15:18:50.783453,ETH-USD,short,88.80%,-3.24%,swing,SL:2677.18,TP:2558.49
2025-06-03 15:18:50.820358,ETH-USD,short,86.71%,-3.01%,swing,SL:2677.18,TP:2558.49
